file_path,word,annotid,transcription
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_13/Home_Visit/Coding/Audio_Annotation/01_13_sparse_code.cha,bottle,0x21bede,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_13/Home_Visit/Coding/Audio_Annotation/01_13_sparse_code.cha,bubble,0x1ab943,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_15/Home_Visit/Coding/Audio_Annotation/01_15_sparse_code.cha,peel,0xc87e1d,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_15/Home_Visit/Coding/Audio_Annotation/01_15_sparse_code.cha,rock,0x124a92,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,plate,0x6cc9c4,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,fish,0xb17764,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x2a59ff,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x2bcee5,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0xf2b9b9,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,Dora,0xa61545,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,Dora,0xf45959,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x2b40b2,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0xab6d0b,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x2d1ad4,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x3f9791,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,door,0xde1fb2,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,door,0x5afe9a,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x4c7c89,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x9ce427,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0xb04059,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x477372,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0xad30a8,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x2c4834,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,sky,0x0abfea,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,backpack,0x058b45,###
/Volumes/pn-opus/Seedlings/Subject_Files/01/01_16/Home_Visit/Coding/Audio_Annotation/01_16_sparse_code.cha,dress,0xca0f99,###
