file_path,object_pho,id_pho,time_start_pho,time_end_pho
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: ngON,0x3b08c9,00:11:38.720000,00:11:38.720000
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: aId6?&?,0x166f86,00:14:46.335000,00:14:46.335000
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: w6b6?nETs,0x6cf67b,00:19:29.874000,00:19:29.874000
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: d&d&?OdAn,0x61d71d,00:22:33.797000,00:22:33.797000
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: V6VIaIdAn,0x7c21cd,00:22:37.950000,00:22:37.950000
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: d&d&?aIdAn,0x3abff4,00:22:58.883000,00:22:58.883000
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: nOu,0x160704,00:25:31.396000,00:25:31.396000
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: mObI,0x3447ce,00:31:37.984000,00:31:37.984000
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: mOpisc,0x3688ae,00:32:05.770000,00:32:05.770000
/Volumes/pn-opus/Seedlings/Subject_Files/08/08_17/Home_Visit/Coding/Video_Annotation/08_17_sparse_code.opf,%pho: mOpis.,0xf0adea,00:32:39.109000,00:32:39.109000
